,EXECUTION_DATE,team,num,name,min,pts,ass,reb,stl,blk,to,foul,%,2%,3%,3#,3#/,2#,2#/,1#,1#/,EFF
62,2026/01/25,BOS,9,Derrick White,PT38M34.00S,15,7,7,1,1,0,1,0.277777777777778,0.28571428571428603,0.272727272727273,3,11,2,7,2,2,1.0
63,2026/01/25,BOS,11,Payton Pritchard,PT29M31.80S,10,7,3,0,0,1,0,0.4,0.428571428571429,0.333333333333333,1,3,3,7,1,1,-4.0
64,2026/01/25,BOS,4,Anfernee Simons,PT27M44.20S,21,5,4,2,0,2,3,0.5,0.6,0.45454545454545503,5,11,3,5,0,0,0.0
65,2026/01/25,BOS,52,Luka Garza,PT13M32.00S,4,1,2,0,1,1,1,0.5,1.0,0.0,0,2,2,2,0,0,-3.0
66,2026/01/25,BOS,55,Baylor Scheierman,PT06M21.00S,2,0,3,0,0,0,1,0.333333333333333,0.5,0.0,0,1,1,2,0,0,1.0
67,2026/01/25,BOS,88,Neemias Queta,PT24M15.80S,6,0,3,2,1,0,0,0.333333333333333,0.4,0.0,0,1,2,5,2,2,3.0
68,2026/01/25,BOS,28,Hugo González,PT11M08.00S,3,0,1,2,0,0,1,1.0,0.0,1.0,1,1,0,0,0,0,7.0
69,2026/01/25,BOS,27,Jordan Walsh,PT17M59.20S,7,0,1,0,0,0,1,0.6,1.0,0.333333333333333,1,3,2,2,0,0,8.0
70,2026/01/25,CHI,35,Isaac Okoro,PT27M03.00S,12,1,2,0,2,0,0,0.555555555555556,1.0,0.333333333333333,2,6,3,3,0,1,8.0
71,2026/01/25,CHI,25,Jalen Smith,PT27M24.00S,14,0,9,0,0,0,3,0.6,0.8,0.4,2,5,4,5,0,0,11.0
72,2026/01/25,CHI,9,Nikola Vučević,PT34M32.00S,16,6,7,1,2,1,1,0.7,0.625,1.0,2,2,5,8,0,0,-7.0
73,2026/01/25,CHI,14,Matas Buzelis,PT32M26.00S,14,5,8,0,1,2,2,0.384615384615385,0.333333333333333,0.4,4,10,1,3,0,0,15.0
74,2026/01/25,CHI,0,Coby White,PT32M17.20S,22,7,1,0,0,4,2,0.375,0.14285714285714302,0.555555555555556,5,9,1,7,5,5,5.0
75,2026/01/25,CHI,13,Kevin Huerter,PT24M06.00S,12,3,6,1,0,0,3,0.714285714285714,0.75,0.666666666666666,2,3,3,4,0,0,5.0
76,2026/01/25,CHI,11,Ayo Dosunmu,PT22M33.00S,10,0,2,0,1,3,2,0.444444444444444,0.5,0.4,2,5,2,4,0,0,-10.0
